Family,Instance Name,METIS,,,,,,,,,SPAC,,,,,,,,,SHEEP,,,,,,,,,NE,,,,,,,,
,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
asn,mammalia-voles-bhp-trapping,2390,2390,2390,2398,2398,2398,2398,2398,2398,2376,2376,2376,2370,2370,2370,2374,2374,2374,2790,2790,2790,2812,2812,2812,2744,2744,2744,2407,2407,2407,2407,2407,2407,2407,2407,2407
asn,mammalia-voles-kcs-trapping,1857,1857,1857,1844,1844,1844,1869,1869,1869,1852,1852,1852,1857,1857,1857,1854,1854,1854,2083,2083,2083,2105,2105,2105,2122,2122,2122,1859,1859,1859,1861,1861,1861,1859,1859,1859
asn,mammalia-voles-plj-trapping,1794,1794,1794,1792,1792,1792,1804,1804,1804,1802,1802,1802,1805,1805,1805,1802,1802,1802,1981,1981,1981,2034,2034,2034,2003,2003,2003,1824,1824,1824,1824,1824,1824,1824,1824,1824
asn,mammalia-voles-rob-trapping,2078,2078,2078,2064,2064,2064,2073,2073,2073,2093,2093,2093,2083,2083,2083,2086,2086,2086,2460,2460,2460,2470,2470,2470,2480,2480,2480,2118,2118,2118,2118,2118,2118,2118,2118,2118
big_temp,ca-coauthors-dblp,1362905,1362905,705632,1362902,723255,722258,1362905,1362905,699499,834656,834656,710408,834656,709422,709132,834656,834656,702381,2336483,2336483,2309715,2335891,2335122,2334906,2336483,2259935,2259935,756091,755940,755940,755949,755945,755945,756091,756091,753736
big_temp,rec-dating,4079419,4079419,1013478,4079419,4079419,1161495,4079419,4079419,1002222,1546524,1546524,1404856,1546524,1546524,1406042,1546524,1546524,1429487,2105860,2105833,2105833,2105860,2105303,2105215,2105860,2105860,2100361,950035,950035,950035,950035,950035,950035,950035,950035,950035
big_temp,rec-epinions,4784746,4784746,1396296,4784760,4784760,1359911,4784746,4784746,1378898,1690952,1690952,1490131,1690957,1496203,1494453,1690952,1690952,1458510,1481079,1481077,1481077,1481079,1481079,1481079,1481079,1481077,1481077,1392154,1392154,1392154,1392154,1392154,1392154,1392154,1392154,1392154
big_temp,rec-libimseti-dir,3738819,3738819,942449,3738809,3738809,1102236,3738819,3738819,940893,2024196,2024196,1758391,2024196,2024196,1734029,2024196,2024196,1717842,2130588,2130564,2130564,2130588,2130226,2130131,2130588,2130588,2127406,898263,898262,898262,898262,898262,898262,898263,898263,898235
big_temp,soc-lastfm,2559029,2559029,1805530,2559031,2559031,1791167,2559029,2559029,1808044,2384170,2384170,2073009,2384170,2384170,2085888,2384170,2384170,2026619,2267973,2267973,2267973,2267973,2267973,2267973,2267974,2267973,2267973,1988067,1988067,1988067,1988067,1988067,1988067,1988067,1988067,1988067
