The table shows the |V(S)| value for each algorithm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domains,Instance Name,Vertex,Edge,METIS_G,,,METIS_F,,,SPAC_G,,,SPAC_F,,,SHEEP_G,,,SHEEP_F,,,NE_G,,,NE_F,,,ParHS-BGEP,,
,,,,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s,10s,100s,1000s
asn,mammalia-voles-bhp-trapping,1686,4623,2403,2403,2403,2384,2384,2384,2387,2387,2387,2368,2368,2368,2718,2718,2718,2734,2734,2734,2407,2407,2407,2407,2407,2407,2302,2302,2302
asn,mammalia-voles-kcs-trapping,1218,3592,1863,1863,1863,1835,1835,1835,1865,1865,1865,1849,1849,1849,2080,2080,2080,2071,2071,2071,1859,1859,1859,1861,1861,1861,1787,1787,1787
asn,mammalia-voles-plj-trapping,1263,3380,1805,1805,1805,1789,1789,1789,1815,1815,1815,1800,1800,1800,1990,1990,1990,1996,1996,1996,1824,1824,1824,1824,1824,1824,1714,1714,1714
asn,mammalia-voles-rob-trapping,1480,3935,2083,2083,2083,2060,2060,2060,2088,2088,2088,2078,2078,2078,2408,2408,2408,2438,2438,2438,2118,2118,2118,2118,2118,2118,1996,1996,1996
big_temp,ca-coauthors-dblp,540486,15245729,935612,713473,709788,1090838,720384,720273,740186,713477,710422,717074,709293,708904,2335323,2331172,2325847,2335617,2334892,2334662,755959,755959,755959,755933,755929,755929,756091,711425,694895
big_temp,rec-dating,168791,17351416,4079335,4079335,4079335,3904346,2892206,1145088,1546524,1546524,1546524,1480890,1417442,1405131,2105851,2105851,2105851,2105473,2105168,2105061,950035,950035,950035,950035,950035,950035,950035,950035,949783
big_temp,rec-epinions,755200,13396042,4598270,3452198,1367626,4646484,3437193,1359375,1548362,1518173,1497753,1586692,1495246,1494166,1481077,1481077,1481077,1481079,1481079,1481079,1392154,1392154,1392154,1392154,1392154,1392154,1392154,1392154,1358236
big_temp,rec-libimseti-dir,220970,17233144,3738712,3738712,3738712,3546127,2468781,1089729,2024196,2024196,2024196,1898198,1745303,1733236,2130574,2130571,2130571,2130431,2130129,2130047,898262,898262,898262,898262,898262,898262,898263,898251,898231
big_temp,soc-lastfm,1191805,4519330,2246334,1804064,1804064,2479347,1875709,1791974,2282077,2173096,2153675,2286268,2087607,2084095,2267973,2267973,2267973,2267973,2267973,2267973,1988067,1988067,1988067,1988067,1988067,1988067,1988067,1822678,1791087
