Family,Instance Name,Singel,,,Parallel,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
asn,mammalia-voles-bhp-trapping,2369,2369,2369,2302,2302,2302
asn,mammalia-voles-kcs-trapping,1839,1839,1839,1787,1787,1787
asn,mammalia-voles-plj-trapping,1792,1792,1792,1714,1714,1714
asn,mammalia-voles-rob-trapping,2064,2064,2064,1996,1996,1996
big_temp,ca-coauthors-dblp,756091,723255,705735,756091,756091,694895
big_temp,rec-dating,950035,950035,950035,950035,950035,949783
big_temp,rec-epinions,1392154,1392154,1359894,1392154,1392154,1358236
big_temp,rec-libimseti-dir,898263,898253,898253,898263,898251,898231
big_temp,soc-lastfm,1988067,1988067,1791105,1988067,1988067,1791087
big_temp,soc-twitter-higgs,1086181,1086181,1085666,1086181,1086181,1084724
bio,bio-CE-CX,47512,47509,47503,47351,45603,42887
bio,bio-CE-GN,10541,10541,10541,10457,10457,10457
bio,bio-CE-HT,3063,3063,3063,3035,3034,3034
bio,bio-CE-LC,1571,1571,1571,1552,1552,1552
bio,bio-CE-PG,6897,6897,6897,6710,6693,6693
bio,bio-DM-CX,14951,14951,14951,14757,14569,14561
bio,bio-dmela,16107,16107,16107,15223,14694,14542
bio,bio-DM-HT,3690,3690,3690,3627,3611,3610
bio,bio-DR-CX,16439,16439,16439,16326,16315,16315
bio,bio-grid-fission-yeast,4787,4787,4787,4669,4669,4669
bio,bio-grid-fruitfly,15802,15802,15802,15141,14585,14556
bio,bio-grid-human,17050,17050,17050,16289,15593,15366
bio,bio-grid-mouse,1604,1604,1604,1586,1586,1586
bio,bio-grid-plant,2113,2113,2113,2061,2061,2061
bio,bio-grid-worm,5004,5004,5004,4748,4683,4679
bio,bio-grid-yeast,29917,29917,29917,29892,29891,29891
bio,bio-HS-CX,18220,18220,18220,18042,17907,17907
bio,bio-HS-HT,5446,5446,5446,5145,5104,5104
bio,bio-HS-LC,11446,11446,11446,10744,10604,10507
bio,bio-SC-CC,7329,7329,7329,7139,7139,7139
bio,bio-SC-GT,6444,6444,6444,6369,6369,6369
bio,bio-SC-HT,9196,9196,9196,9094,9094,9094
bio,bio-SC-LC,6344,6344,6344,6090,6090,6090
bio,bio-WormNet-v3,74166,74166,74166,74151,74138,74135
bio,bio-WormNet-v3-benchmark,5470,5470,5470,5283,5278,5278
bio,bio-yeast,1814,1814,1814,1757,1757,1757
bio,bio-yeast-protein-inter,2185,2185,2185,2148,2148,2148
ca,ca-aminer,1465990,1465990,1370462,1465990,1465990,1363089
ca,ca-AstroPh,33989,33982,33966,35108,32810,31781
ca,ca-citeseer,264101,256771,256771,264136,255963,254283
ca,ca-cit-HepPh,101991,101752,101752,101991,101760,101008
ca,ca-cit-HepTh,84889,84706,84706,84889,84623,84441
ca,ca-CondMat,30114,30099,30099,29719,29009,28846
ca,ca-GrQc,5506,5506,5506,5292,5289,5279
ca,ca-IMDB,1626321,1626321,1517897,1626320,1626024,1502211
ca,ca-MathSciNet,411015,411010,410991,439364,438955,406754
cit,cit-DBLP,21021,21018,21018,20639,19941,19628
cit,cit-HepPh,100604,100511,100511,100604,100221,99813
cit,cit-HepTh,85396,85396,85396,85396,85394,85391
dimacs10,144,167601,167601,167601,172708,167037,166281
dimacs10,598a,130817,128419,128419,130834,127962,127531
dimacs10,auto,509769,498502,498502,509776,498373,496771
dimacs10,coAuthorsCiteseer,264313,256771,256771,264313,255748,254364
dimacs10,cs4,26491,26491,26491,26347,26242,26215
dimacs10,cti,21520,21520,21520,21447,21447,21447
dimacs10,delaunay-n10,1495,1495,1495,1440,1440,1439
dimacs10,delaunay-n11,2641,2641,2641,2608,2608,2608
dimacs10,delaunay-n12,4928,4928,4928,4880,4880,4880
dimacs10,delaunay-n13,9363,9363,9363,9290,9288,9288
dimacs10,delaunay-n14,18070,18070,18070,17943,17943,17943
dimacs10,delaunay-n15,35135,35135,35135,34984,34950,34950
dimacs10,delaunay-n16,68877,68877,68877,68830,68658,68651
dimacs10,delaunay-n17,135736,135736,135736,135794,135481,135410
dimacs10,delaunay-n18,270469,268768,268768,270469,268670,268298
dimacs10,delaunay-n19,535937,533812,533812,535937,533806,533132
dimacs10,delaunay-n20,1065236,1062132,1062132,1065236,1062358,1061675
dimacs10,fe-4elt2,12558,12558,12558,12484,12484,12478
dimacs10,fe-ocean,159651,159651,159651,159641,159427,159371
dimacs10,fe-rotor,112970,112969,112969,113141,112556,112262
dimacs10,fe-sphere,18563,18563,18563,18428,18426,18426
dimacs10,fe-tooth,89282,89281,89281,89260,88874,88792
dimacs10,inf-belgium-osm,1443157,1443144,1443144,1443157,1443120,1443116
dimacs10,inf-luxembourg-osm,115013,115013,115013,115008,115008,115005
dimacs10,m14b,249520,241754,241751,249510,241364,240250
dimacs10,rgg-n-2-15-s0,34556,34556,34556,34394,34334,34334
dimacs10,rgg-n-2-16-s0,68232,68232,68232,68115,67910,67904
dimacs10,rgg-n-2-17-s0,135541,135327,135327,135326,134971,134867
dimacs10,rgg-n-2-18-s0,270087,268857,268857,270087,268511,268128
dimacs10,rgg-n-2-19-s0,536416,533991,533991,536416,533878,533198
dimacs10,t60k,62453,62453,62453,62399,62399,62383
dimacs10,tech-caidaRouterLevel,222353,222345,222318,236270,221688,220217
dimacs10,wing,69746,69746,69746,69701,69336,69186
dimacs10,wing-nodal,15871,15871,15871,15677,15658,15658
email,email-dnc,2726,2726,2726,2591,2584,2584
email,email-enron-large,50616,50615,50613,50982,49597,48344
email,email-EU,38051,38051,38045,37696,37301,36933
email,email-univ,2795,2795,2795,2667,2667,2667
graph500,graph500-scale18-ef16-adj,497040,497040,497040,497040,497040,497026
graph500,graph500-scale19-ef16-adj,933890,933890,933890,933890,933890,933549
heter,actor,1449327,1449327,1440126,1449327,1449327,1438742
heter,bibsonomy,1306984,1183770,1182566,1306982,1185354,1175885
heter,citeulike-u2p-u2t,994885,991312,991300,994885,994838,987957
heter,dbpedia,549532,549532,549532,549532,548719,546977
heter,digg,588361,588315,588315,588361,588283,587745
heter,epinions,1474266,1474266,1474266,1474266,1474266,1463010
