Family,Instance Name,with-VBGS,,,without-VBGS,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
asn,mammalia-voles-bhp-trapping,2302,2302,2302,2361,2361,2361
asn,mammalia-voles-kcs-trapping,1787,1787,1787,1828,1828,1828
asn,mammalia-voles-plj-trapping,1714,1714,1714,1774,1774,1774
asn,mammalia-voles-rob-trapping,1996,1996,1996,2057,2057,2057
big_temp,ca-coauthors-dblp,756091,756091,694895,756091,711565,695903
big_temp,rec-dating,950035,950035,949783,950035,950035,949783
big_temp,rec-epinions,1392154,1392154,1358236,1392154,1392154,1354149
big_temp,rec-libimseti-dir,898263,898251,898231,898262,898262,898233
big_temp,soc-lastfm,1988067,1988067,1791087,1988067,1988067,1791223
big_temp,soc-twitter-higgs,1086181,1086181,1084724,1086180,1086180,1085017
bio,bio-CE-CX,47351,45603,42887,47178,45747,45747
bio,bio-CE-GN,10457,10457,10457,10533,10533,10533
bio,bio-CE-HT,3035,3034,3034,3058,3058,3058
bio,bio-CE-LC,1552,1552,1552,1568,1568,1568
bio,bio-CE-PG,6710,6693,6693,6883,6883,6883
bio,bio-DM-CX,14757,14569,14561,14949,14949,14949
bio,bio-dmela,15223,14694,14542,15865,15865,15865
bio,bio-DM-HT,3627,3611,3610,3685,3685,3685
bio,bio-DR-CX,16326,16315,16315,16425,16425,16425
bio,bio-grid-fission-yeast,4669,4669,4669,4780,4780,4780
bio,bio-grid-fruitfly,15141,14585,14556,15642,15642,15642
bio,bio-grid-human,16289,15593,15366,16669,16669,16669
bio,bio-grid-mouse,1586,1586,1586,1602,1602,1602
bio,bio-grid-plant,2061,2061,2061,2107,2107,2107
bio,bio-grid-worm,4748,4683,4679,5007,5007,5007
bio,bio-grid-yeast,29892,29891,29891,29906,29906,29906
bio,bio-HS-CX,18042,17907,17907,18174,18174,18174
bio,bio-HS-HT,5145,5104,5104,5428,5428,5428
bio,bio-HS-LC,10744,10604,10507,11444,11444,11444
bio,bio-SC-CC,7139,7139,7139,7310,7310,7310
bio,bio-SC-GT,6369,6369,6369,6438,6438,6438
bio,bio-SC-HT,9094,9094,9094,9191,9191,9191
bio,bio-SC-LC,6090,6090,6090,6344,6344,6344
bio,bio-WormNet-v3,74151,74138,74135,74151,74151,74151
bio,bio-WormNet-v3-benchmark,5283,5278,5278,5417,5417,5417
bio,bio-yeast,1757,1757,1757,1807,1807,1807
bio,bio-yeast-protein-inter,2148,2148,2148,2184,2184,2184
ca,ca-aminer,1465990,1465990,1363089,1465990,1465990,1365784
ca,ca-AstroPh,35108,32810,31781,33420,32919,32919
ca,ca-citeseer,264136,255963,254283,264136,255605,254854
ca,ca-cit-HepPh,101991,101760,101008,101977,101773,101311
ca,ca-cit-HepTh,84889,84623,84441,84877,84757,84639
ca,ca-CondMat,29719,29009,28846,31284,31284,31284
ca,ca-GrQc,5292,5289,5279,6485,6485,6485
ca,ca-IMDB,1626320,1626024,1502211,1626320,1626320,1506444
ca,ca-MathSciNet,439364,438955,406754,411050,411048,405150
cit,cit-DBLP,20639,19941,19628,20623,20623,20623
cit,cit-HepPh,100604,100221,99813,100601,100287,100075
cit,cit-HepTh,85396,85394,85391,85396,85390,85389
dimacs10,144,172708,167037,166281,167689,166934,166795
dimacs10,598a,130834,127962,127531,128492,127972,127972
dimacs10,auto,509776,498373,496771,509722,498502,496653
dimacs10,coAuthorsCiteseer,264313,255748,254364,264218,255594,254773
dimacs10,cs4,26347,26242,26215,26442,26442,26442
dimacs10,cti,21447,21447,21447,21519,21519,21519
dimacs10,delaunay-n10,1440,1440,1439,1488,1488,1488
dimacs10,delaunay-n11,2608,2608,2608,2645,2645,2645
dimacs10,delaunay-n12,4880,4880,4880,4931,4931,4931
dimacs10,delaunay-n13,9290,9288,9288,9352,9352,9352
dimacs10,delaunay-n14,17943,17943,17943,18038,18038,18038
dimacs10,delaunay-n15,34984,34950,34950,35084,35084,35084
dimacs10,delaunay-n16,68830,68658,68651,68793,68772,68772
dimacs10,delaunay-n17,135794,135481,135410,135712,135617,135617
dimacs10,delaunay-n18,270469,268670,268298,270469,268610,268610
dimacs10,delaunay-n19,535937,533806,533132,535937,533671,533544
dimacs10,delaunay-n20,1065236,1062358,1061675,1065236,1062147,1061749
dimacs10,fe-4elt2,12484,12484,12478,12545,12545,12545
dimacs10,fe-ocean,159641,159427,159371,159647,159647,159647
dimacs10,fe-rotor,113141,112556,112262,112970,112396,112396
dimacs10,fe-sphere,18428,18426,18426,18524,18524,18524
dimacs10,fe-tooth,89260,88874,88792,89209,88975,88975
dimacs10,inf-belgium-osm,1443157,1443120,1443116,1443157,1443115,1443110
dimacs10,inf-luxembourg-osm,115008,115008,115005,115009,115009,115009
dimacs10,m14b,249510,241364,240250,249503,241302,240921
dimacs10,rgg-n-2-15-s0,34394,34334,34334,34501,34501,34501
dimacs10,rgg-n-2-16-s0,68115,67910,67904,68110,68070,68070
dimacs10,rgg-n-2-17-s0,135326,134971,134867,135332,135146,135146
dimacs10,rgg-n-2-18-s0,270087,268511,268128,270087,268573,268543
dimacs10,rgg-n-2-19-s0,536416,533878,533198,536416,533991,533520
dimacs10,t60k,62399,62399,62383,62404,62404,62404
dimacs10,tech-caidaRouterLevel,236270,221688,220217,222353,220869,220179
dimacs10,wing,69701,69336,69186,69673,69588,69588
dimacs10,wing-nodal,15677,15658,15658,15802,15802,15802
email,email-dnc,2591,2584,2584,2726,2726,2726
email,email-enron-large,50982,49597,48344,50033,49377,49377
email,email-EU,37696,37301,36933,37684,37684,37684
email,email-univ,2667,2667,2667,2788,2788,2788
graph500,graph500-scale18-ef16-adj,497040,497040,497026,497040,497040,497039
graph500,graph500-scale19-ef16-adj,933890,933890,933549,933890,933890,933729
heter,actor,1449327,1449327,1438742,1449222,1449204,1442579
heter,bibsonomy,1306982,1185354,1175885,1306982,1187254,1177306
heter,citeulike-u2p-u2t,994885,994838,987957,994885,991334,985912
heter,dbpedia,549532,548719,546977,549532,547899,547177
heter,digg,588361,588283,587745,588358,588272,587924
heter,epinions,1474266,1474266,1463010,1474266,1474266,1463010
heter,movielens-10m,326082,326062,325829,326081,326069,326056
heter,movielens-10m-noRatings,60274,58934,58144,60435,60347,60347
heter,visualize-us,842440,842440,830683,842431,842430,831781
heter,yahoo-msg,177623,176633,164454,169859,169857,164439
ia,ia-dbpedia-team-bi,450136,444869,417392,449977,420964,416741
ia,ia-email-EU,37785,37287,36839,37674,37674,37674
ia,ia-email-univ,2652,2652,2652,2781,2781,2781
ia,ia-enron-large,50665,49657,48534,50114,49454,49454
ia,ia-escorts-dynamic,22604,21565,21457,23120,23120,23120
ia,ia-fb-messages,3476,3476,3476,3709,3709,3709
ia,ia-frwikinews-user-edits,27497,27497,27437,27523,27523,27523
ia,ia-reality,7218,7201,7190,7261,7261,7261
ia,ia-wikiquote-user-edits,117786,114121,113614,118754,116920,116920
ia,ia-wiki-Talk,154721,154535,154524,154721,154579,154579
ia,ia-wiki-trust-dir,202424,196957,193289,203706,200331,194400
misc,144,172550,167153,166293,167689,166915,166746
misc,162bit,19798,19088,19044,20557,20557,20557
misc,176bit,40994,39296,38550,41296,41296,41296
